ID,Set,English,English_Strict,Spanish,Portuguese,French
anteater2,,anteater@,,,,
bat1,TG200,bat,,murciélago,morcego,Chauve-souris
bat2,,bat@,,,,
butterfly1,,butterfly,,mariposa,borboleta,papillon
butterfly2,,butterfly@,,,,
collaredpeccary1,"TG200, ANIMAL",collared peccary (Pecari tajacu),,sajino,caititu,pécari à collier
white-lippedpeccary1,"TG200, ANIMAL",white-lipped peccary (Tayassu pecari),,huangana,"queixada, taiaçu",pécari à lèvres blanches
tail1,TG100,tail,,"cola, rabo","cauda, rabo",queue
tail2,,tail@,,,,
feather1,TG100,feather,,pluma,pena (pluma),plume
feather2,,feather@,,,,
horn1,TG100,horn,,cuerno (cacho),chifre,corne
horn2,,horn@,,,,
claw1,,claw@,,garra ,garra,"griffe, serre (rapace)"
claw2,,claw@,,,,
egg1,TG100,egg,,huevo,ovo,oeuf
egg2,,egg@,,,,
wing1,TG200,wing,,ala,asa,aile
wing2,,wing@,,,,
animal1,TG200,animal,,animal,animal,animal
animal2,,animal@,,,,
domesticatedanimal1,,"domesticated animal, pet",,"animal domesticado, mascota",animal domesticado,"animal domestique, animal familier"
domesticatedanimal2,,"domesticated animal, pet@",,,,
beak1,,beak,,pico,bico,bec
beak2,,beak@,,,,
mother1,"TG200, KINSHIP",mother,,madre,mãe,mère
mother2,,mother@,,,,
father1,"TG200, KINSHIP",father,,padre ,pai,père
father2,,father@,,,,
son1,"KINSHIP, EXCL",son,,hijo ,filho,fils
son2,,son@,,,,
daughter1,"KINSHIP, EXCL",daughter,,hija ,filha,fille
daughter2,,daughter@,,,,
brother1,"KINSHIP, EXCL",brother ,,hermano ,irmão,frère
brother2,,brother@,,,,
sister1,"KINSHIP, EXCL",sister,,hermana,irmã,soeur
sister2,,sister@,,,,
cousin1,"KINSHIP, EXCL",cousin (male),,primo,primo,cousin
cousin2,,cousin (male)@,,,,
cousin3,"KINSHIP, EXCL",cousin (female),,prima,prima,cousine
cousin4,,cousin (female)@,,,,
nephew1,"KINSHIP, EXCL",nephew,,sobrino,sobrinho,neveu
nephew2,,nephew@,,,,
niece1,"KINSHIP, EXCL",niece,,sobrina,sobrinha,nièce
niece2,,niece@,,,,
aunt1,"KINSHIP, EXCL",aunt,,tía,tia,tante
aunt2,,aunt@,,,,
uncle1,"KINSHIP, EXCL",uncle,,tío,tio,oncle
uncle2,,uncle@,,,,
husband1,"TG200, KINSHIP",husband,,"marido, esposo","marido, esposo","mari, époux"
husband2,,husband@,,,,
wife1,"TG200, KINSHIP",wife,,esposa,esposa,"épouse, femme"
wife2,,wife@,,,,
brother-in-law1,"KINSHIP, EXCL",brother-in-law,,cuñado,cunhado,beau-frère
brother-in-law2,,brother-in-law@,,,,
sister-inlaw1,"KINSHIP, EXCL",sister-in law,,cuñada,cunhada,belle-soeur
sister-in-law1,,sister-in-law@,,,,
mother-in-law1,"KINSHIP, EXCL",mother-in-law,,suegra,sogra,belle-mère
mother-in-law2,,mother-in-law@,,,,
father-in-law1,"KINSHIP, EXCL",father-in-law,,suegro,sogro,beau-père
father-in-law2,,father-in-law@,,,,
son-in-law1,"KINSHIP, EXCL",son-in-law,,yerno ,genro,gendre
son-in-law2,,son-in-law@,,,,
daughter-in-law1,"KINSHIP, EXCL",daughter-in-law,,nuera ,nora,bru
daughter-in-law2,,daughter-in-law@,,,,
grandchildmaleego1,KINSHIP,grandchild male ego,,"nieto, nieta","neto, neta","Petit-fils, Petite-fille"
grandchildfemaleego1,KINSHIP,grandchild female ego,,"nieto, nieta","neto, neta","Petit-fils, Petite-fille"
grandchild1,KINSHIP,grandchild,This contains words meaning grandchild without a distrinction in ego,,,
grandchild2,,grandchild@,,,,
grandmother1,KINSHIP,grandmother,,abuela,avó,Grande-mère
grandmother2,,grandmother@,,,,
grandfather1,KINSHIP,grandfather,,abuelo,avô,Grand-père
grandfather2,,grandfather@,,,,
godmother1,"KINSHIP, EXCL",godmother,,madrina,madrinha,marraine
godmother2,,godmother@,,,,
godfather1,"KINSHIP, EXCL",godfather,,padrino,padrinho,parrain
man1,TG100,man ,,hombre,homem,homme
man2,,man@,,,,
woman1,TG100,woman,,mujer,mulher,femme
woman2,,woman@,,,,
oldwoman1,,old woman,,"vieja, mujer vieja","velha, mulher velha",vieille femme
oldwoman2,,old woman@,,,,
person1,TG100,"person, human",,"persona, humano","pessoa, ser humano, humano","personne, être humain"
person2,,"person, human@",,,,
whiteperson1,,"white person, non-Indian",,"persona blanca, blanco, extranjero, foráneo","pessoa branca, branco, estrangeiro, forâneo",personne de race blanche
whiteperson2,,white person@,,,,
youngman1,,young man,,joven,rapaz,jeune homme
youngman2,,young man@,,,,
youngwoman1,,young woman,,"señorita, jovencita",moça,jeune femme
youngwoman2,,young woman@,, ,,
child1,,child,not as a kinship term,,criança,
child2,,child@,,,,
boy1,,"boy, male child",,"muchacho, niño","moço, garoto, menino",garçon
boy2,,"boy, male child@",,,,
girl1,,"girl, female child",,"chica, niña (muchacha)","moça, menina, criança",fille
girl2,,"girl, female child@",,,,
minga1,,minga,,minga,mutirão,
orphan1,,orphan,,huérfano,orfão,orphelin
orphan2,,orphan@,,,,
owner1,CULTURE,"owner, boss (master)","owner, dueño, dono","dueño, propietario",dono (propietário),"propriétaire, maître"
owner2,,"owner, boss, master@",,,,
spirit1,CULTURE,spirit (soul),,espíritu (alma),espírito (alma),esprit
spirit2,,spirit (soul)@,,,,
friend1,,friend@,"old strict row, excluded because meaning doesn't exist in TG",amigo,amigo,ami
friend2,,friend@,old lax row of friend,,,
companion1,TG200,companion,,compañero,companheiro,(compagnon)
companion2,,companion@,,,,
witch1,,"witch, shaman, healer","witch, brujo, bruxo~pajé","brujo, bruja, shamán, hechicero, hechicera, curandero, médico","bruxo, bruxa, pajé, feiticeiro, feiticeira, curandeiro","sorcier, sorcière, chamane"
witch2,,"witch, shaman, healer@",,,,
chief1,CULTURE,chief (leader),,"jefe (cacique, apu)",chefe; cacique,chef
chief2,,chief (leader)@,,,,
red1,TG100,red,,rojo,vermelho (m.),rouge
red2,,red@,,,,
ripe1,,ripe,,maduro,maduro,mûr
ripe2,,ripe@,,,,
white1,TG100,white,,blanco,branco,blanc
white2,,white@,,,,
black1,TG100,black,,negro,preto,noir
black2,,black@,,,,
dark1,,dark,,oscuro,escuro,sombre
dark2,,dark@,,,,
unripe1,,unripe,,"no maduro, verde, flaco","não maduro, verde","vert (NCP: this also means green), immature, pas mûr"
unripe2,,unripe@,,,,
green1,TG100,green,,verde,verde,vert
green2,,green@,,,,
blue1,,blue,,azul,azul,bleu
blue2,,blue@,,,,
grue1,,grue,,,,glauque
yellow1,TG100,yellow,,amarillo,amarelo,jaune
yellow2,,yellow@,,,,
yesterday1,,yesterday,,ayer,ontem,hier
yesterday2,,yesterday@,,,,
tomorrow1,,tomorrow,,mañana,amanhã,demain
tomorrow2,,tomorrow@,,,,
now1,FUNCT,now,,ahora,agora,maintenant
now2,,now@,,,,
day1,TG200,day,,día,dia,jour
day2,,day@,,,,
today1,,today,,hoy, hoje,aujourd' hui
today2,,today@,,,,
longtimeago1,,long time ago,,"hace mucho tiempo, antiguamente","há muito tempo, antigamente","il y a longtemps, jadis"
longtimeago2,,long time ago@,,,,
year1,,year,,año,ano,"an, année"
year2,,year@,,,,
before1,FUNCT,before,,antes,antes,avant
before2,,before@,,,,
after1,FUNCT,after,,despues,"após, depois",après
after2,,after@,,,,
already1,FUNCT,already,,ya,já,déjà
already2,,already@,,,,
always1,"TG200, FUNCT",always,,siempre,sempre,"tous les jours, toujours"
always2,,always@,,,,
night1,TG100,night (evening),,noche,noite,"nuit, soir"
night2,,night (evening)@,,,,
dawn1,,dawn,,amanecer,amanhecer,"aube, aurore"
dawn2,,dawn@,,,,
morning1,,morning,,mañana,manhã,matin
morning2,,morning@,,,,
early1,FUNCT,early,,temprano,cedo,tôt
