ID,Set,English,English_Strict,Spanish,Portuguese,French
weak1,TG200,weak (feeble),,débil,fraco,faible
weak2,,weak (feeble)@,,,,
strong1,,strong,,fuerte,forte,fort
strong2,,strong@,,,,
hard1,,hard,,duro,"robusto, duro",dur
hard2,,hard@,,,,
thick1,TG200,thick,,grueso,grosso,épais
thick2,,thick@,,,,
round1,TG100,round,,redondo,redondo,rond
round2,,round@,,,,
straight1,,straight,,"recto, ser recto (derecho)","reto, direito","droit, être droit"
straight2,,straight@,,,,
right1,,right,,derecha,(a direita),(droite)
right2,,right@,old right hand items are here,,,
left1,,left,,izquierda,esquerda,gauche
left2,,left@,,,,
bent1,TG200,"bent, twisted","2 meanings: 1) bent, tuerto, torto; 2) twisted, torcido, torcido",torcido,torcido,"courbé, tordu"
bent2,,"bent, twisted@",,,,
far1,TG200,far,,lejos,longe,loin
far2,,far@,,,,
near1,TG200,near (nearby),,cerca,perto,près
near2,,near (nearby)@,,,,
open1,,open,,abierto,aberto,ouvert
wide1,TG200,wide,,"amplio, ancho","largo, amplo",large
wide2,,wide@,,,,
painted1,CULTURE,painted (spotted),,pintado,pintado,peint
painted2,,painted (spotted)@,,,,
dull1,,dull,,"desafilado, romo, embotado","sem corte, cego (blunt)",émoussé
dull2,,dull@,,,,
sharp1,,sharp,,afilado,afiado,"affûté, tranchant, effilé, pointu"
sharp2,,sharp@,,,,
smooth1,TG200,smooth,,"suave, liso","liso, macio","lisse, doux"
smooth2,,smooth@,,,,
murky1,,murky,,turbio,turvo,boueux
murky2,,murky@,,,,
correct1,,correct,,correcta,correto,correct
correct2,,correct@,,,,
highup1,,high up (adv.),,"arriba, en el alto",no alto,en haut
highup2,,high up (adv.)@,,,,
high1,,"high, tall",tall,alto,alto,"grand, haut"
high2,,"high, tall@",,,,
deep1,,deep,,hondo,fundo,profond
deep2,,deep@,,,,
deaf1,,deaf,,sordo,surdo,sourd
blind1,,blind,,ciego,cegos,aveugle
blind2,,blind@,,,,
again1,FUNCT,again,,"otra vez (de nuevo, nuevamente)","de novo (outra vez, novamente)","encore, de nouveau"
again2,,again@,,,,
still1,FUNCT,still,,todavía,ainda,encore 
still2,,still@,,,,
also1,FUNCT,also,,también,também,aussi
also2,,also@,,,,
more1,FUNCT,more,,más,mais,plus
more2,,more@,,,,
other1,"TG200, FUNCT",other,,otro,outro,autre
other2,,other@,,,,
many1,"TG100, FUNCT",many (much),,muchos,muito,beaucoup de
many2,,many (much)@,,,,
all1,"TG100, FUNCT",all,,todo,todo,"tous, tout"
all2,,all@,,,,
some1,FUNCT,some,,algun(os),alguns,"quelques uns, certains"
some2,,some@,,,,
few1,"TG200, FUNCT",few (a little),,poco(s),pouco(s),peu (un)
few2,,few (a little)@,,,,
first1,FUNCT,first,,primero,primeiro,premier
first2,,first@,,,,
yes1,FUNCT,yes@,,sí ,sim,oui
no1,FUNCT,no,,no ,não,non
no2,,no@,,,,
side1,,side,,lado,lado,côté
side2,,side@,,,,
go1,,go,,ir ,ir,aller
go2,,go@,,,,
go3,,go (IMP),,ir (IMP),ir (IMP) = vá,vas
come1,TG100,come (intr),,venir ,vir,venir
come2,,come (intr)@,,,,
arrive1,TG100,arrive (intr),,llegar,chegar,arriver
arrive2,,arrive (intr)@,,,,
leavefrom1,TG100,leave from (intr),,salir,sair,"sortir, partir"
leavefrom2,,leave from (intr)@,,,,
return1,,return (intr),,"regresar, volver","voltar, retornar","retourner, revenir"
return2,,return (intr)@,,,,
stop1,,"stop (intr, trans)",parar also means stand,parar,parar,"arrêter, s' arreter"
stop2,,"stop (intr, trans)@",,,,
stay1,,stay (intr),"not stay permanently, live",quedar,ficar,rester
stay2,,stay (intr)@,,,,
walk1,TG100,walk (intr),,"caminar, andar","andar, caminhar",marcher
walk2,,walk (intr)@,,,,
run1,,run (intr),,correr,correr,courir
run2,,run (intr)@,,,,
swim1,TG100,swim (intr),,nadar,nadar,nager
swim2,,swim (intr)@,,,,
float1,,float,,"flotar, boyar","boiar, flutuar","flotter, faire la planche (expression)"
float2,,float@,,,,
plant1,,plant (trans),,"plantar, sembrar",plantar,planter
plant2,,plant (trans)@,,,,
bury1,,bury (trans),,enterrar,enterrar,enterrer
bury2,,bury (trans)@,,,,
steal1,,steal (trans),,robar,roubar,voler
steal2,,steal (trans)@,,,,
hide1,,"hide (intr, trans)",,esconder (ocultar),esconder (ocultar),"cacher, se cacher"
hide2,,"hide (intr, trans)@",,,,
cultivate1,CULTURE,cultivate (trans),,cultivar,cultivar,cultiver
cultivate2,,cultivate@,,,,
dig1,"TG200, CULTURE",dig (trans),,"excavar (cavar, huequear)","cavar, escavar",creuser
dig2,,dig (trans)@,,,,
drip1,,drip (intr),,gotear,gotejar,goutter
drip2,,drip (intr)@,,,,
flow1,,"flow, run off (liquids)","flow, fluir~escurrir (but not 'derramar' sense), fluir~escorrer (but not 'derramar' sense)","fluír, escurrir","fluir, escorrer","s' écouler, couler (NCP: couler un navire means sink)"
flow2,,flow@,,,,
slip1,,slip (intr),,resbalarse,escorregar,glisser
slip2,,slip (intr)@,,,,
sweat1,,sweat (intr),,sudar,suar,"suer, transpirer"
sweat2,,sweat (intr)@,,,,
borrow1,,borrow,,tomar/pedir prestado,tomar/pegar/pedir emprestado,emprunter
borrow2,,borrow@,,,,
live1,TG200,live (intr),,vivir,viver,vivre
live2,,live (intr)@,,,,
die1,TG100,die (intr),,morir,morrer,mourir
die2,,die (intr)@,,,,
kill1,TG100,kill (trans),,matar,matar,tuer
kill2,,kill (trans)@,,,,
fly3,TG100,fly (intr),,volar,voar,voler
fly4,,fly (intr)@,,,,
climb1,,climb (trans),,subir,subir,monter
climb2,,climb (trans)@,,,,
cut1,TG200,"cut, cut down, fell tree (trans)","cut, cortar, cortar","cortar (rebanar, tumbar, derrumbar)","cortar, derrumbar","couper, abattre, couper"
cut2,,"cut, cut down, fell tree (trans)@",,,,
break1,,break (trans),,"romper, quebrar",quebrar,casser
break2,,break (trans)@,,,,
split1,TG200,split (trans),,partir(se),"partir, rachar",fendre
split2,,split (trans)@,,,,
divide1,,"divide, separate","divide, dividir, dividir~partilhar","dividir, separar","dividir, separar, repartir","partager, diviser, séparer"
divide2,,"divide, separate@",,,,
burst1,,"burst, break open","burst, reventar, rebentar~estourar","reventar, estallar","rebentar, arrebentar, estourar, estalar",éclater
fish3,CULTURE,fish (trans),,pescar,pescar,pêcher
fish4,,fish (trans)@,,,,
hunt1,"TG200, CULTURE","hunt (intr, trans)",,cazar (mitayar),caçar,chasser
hunt2,,hunt@,,,,
sweep1,,"sweep (intr, trans)",,barrer,varrer,balayer
shake1,,"shake (intr, trans)",,"sacudir, agitar","sacudir, agitar","agiter, secouer"
shake2,,"shake (intr, trans)@",,,,
rain3,,rain (v.) (intr),,llover,chover,pleuvoir
rain4,,rain (v.) (intr)@,,,,
flood1,,"flood (intr, trans)",,inundar,"inundar, transbordar",inonder
flood2,,"flood (intr, trans)@",,,,
drown1,,drown (intr),,ahogarse,afogar-se,noyer
drown2,,drown (intr)@,,,,
sink1,,sink (intr),,hundirse,afundar,couler (un canot)
sink2,,sink (intr)@,,,,
breathe1,,breathe (intr),,respirar,respirar,respirer
breathe2,,breathe (intr)@,,,,
yawn1,,yawn (intr),,bostezar,bocejar,bâiller
vomit1,TG200,vomit (intr),,vomitar,vomitar,vomir
vomit2,,vomit (intr)@,,,,
lieonasurface1,TG100,lie on a surface (intr),,"echarse, acostarse",deitar(-se),"se coucher, s' allonger"
lieonasurface2,,lie on a surface (intr)@,,,,
put1,,put (ditr),,poner (colocar),"pôr, colocar",mettre
put2,,put (ditr)@,,,,
turn1,TG200,"turn (intr, trans)",,girar,virar,"tourner, retourner"
turn2,,"turn (intr, trans)@",,,,
twist1,,"twist (intr, trans)",,torcer,torcer,tordre
twist2,,"twist (intr, trans)@",,,,
escape1,,escape (intr),,escapar(se),escapar,s' échapper
escape2,,escape (intr)@,,,,
leave1,,leave (trans),,dejar,deixar,"quitter, laisser"
leave2,,leave (trans)@,,,,
enter1,,enter (intr),,entrar,entrar,entrer
enter2,,enter (intr)@,,,,
cough1,,cough(intr),,toser,tossir,tousser
cough2,,cough(intr)@,,,,
swallow1,,"swallow (intr, trans)",,tragar,engolir,avaler
swallow2,,swallow@,,,,
capture1,,capture (trans),,capturar,capturar,"capturer, prendre"
capture2,,capture (trans)@,,,,
appear1,,appear (intr),,aparecer,aparecer,apparaître
appear2,,appear (intr)@,,,,
disappear1,,disappear (intr),,desaparecer,sumir,disparaître
disappear2,,disappear (intr)@,,,,
loseway1,,lose way,,errar,errar o caminho,
loseway2,,lose way@,,,,
lose1,,lose (oneself) (intr),,perderse (errar),"perder-se, errar","être perdu, se perdre"
help1,,help (trans),,ayudar,ajudar,aider
help2,,help (trans)@,,,,
fear1,TG200,"fear (n.), be scared (v.)","fear(n.), meido, medo","miedo, tender miedo","medo, temer, ter medo","peur, avoir peur"
fear2,,"fear (n.), be scared (v.)@",,,,
scare1,,scare (trans),,asustar (espantar),"assustar, espantar",faire peur
scare2,,scare (trans)@,,,,
beableto1,,be able to (trans),,poder,poder,pouvoir
beableto2,,be able to (trans)@,,,,
bring1,,bring (trans),,traer,trazer,"apporter, amener"
bring2,,bring (trans)@,,,,
pull1,TG200,pull (trans),,jalar,puxar,tirer
pull2,,pull (trans)@,,,,
shoot1,"TG200, CULTURE",shoot (trans),,disparar (flechar),"disparar, flechar (atirar)",tirer (au fusil)
shoot2,,shoot (trans)@,,,,
grab1,,grab (trans),This includes the motion meaning of take as well (e.g. take something from somebody's hands). Tomar in spanish and portuguese and prendre in french.,"agarrar, arrancar","agarrar, arrancar","attraper, saisir, prendre"
grab2,,grab (trans)@,,,,
takeout1,,"take out, remove (trans)","take out, sacar, tirar",sacar,"tirar, sacar","enlever, arracher, "
takeout2,,"take out, remove@",,,,
beat1,TG200,"beat, hit (trans)","hit, pegar~golpear, bater, frapper","pegar, golpear","bater, acertar","battre, frapper"
beat2,,"beat, hit (trans)@",,,,
reach1,,reach (trans),,alcanzar,alcançar,atteindre
reach2,,reach (trans)@,,,,
haber1,,haber,"there is, there are",haber ,ter,il y a
haber2,,haber@,,,,
have1,,have (trans),,tener,ter,avoir
have2,,have (trans)@,,,,
give1,TG100,give (ditr),,dar,dar,donner
give2,,give (ditr)@,,,,
throw1,TG200,"throw, throw away (trans)","throw, botar(throw)~tirar(throw), jogar(throw)~lançar","botar, tirar, arrojar (echar)","jogar, jogar fora","jeter, lancer"
throw2,,"throw, throw away (trans)@",,,,
getusedto1,,get used to (trans),,acostumbrarse,acostumar-se ,s' habituer
getusedto2,,get used to (trans)@,,,,
lieto1,TG100,"lie to, deceive (trans)","lie, mentir, mentir",mentir (engañar),mentir (enganar),mentir
lieto2,,"lie to, deceive (trans)@",,,,
sharpen1,,sharpen (trans)@,,afilar,afiar,"affiler, aiguiser, affuter"
forget1,,forget (trans),,olvidar,"esquecer, olvidar",oublier
forget2,,forget (trans)@,,,,
know1,TG100,know (trans),,saber (conocer),saber,savoir
know2,,know (trans)@,,,,
lookfor1,TG100,look for (trans),,buscar,"procurar, buscar",chercher
lookfor2,,look for (trans)@,,,,
look1,,look (intr),,mirar,olhar,regarder
look2,,look (intr)@,,,,
see1,TG100,"see (intr, trans)",,ver,ver,voir
see2,,"see (intr, trans)@",,,,
order1,,"order, command","order~command, ordenar~mandar, ordenar~(co)manda","ordenar, (co)mandar","ordenar, (co)mandar","commander, donner ordres"
order2,,"order, command@",,,,
meet1,,"meet, encounter, come across, find","encounter~come across~find, encontrar~hallar, encontrar","encontrar(se), hallar","encontrar(-se), deparar(-se), achar~achar","rencontrer, trouver"
meet2,,"meet, encounter@",,,,
remember1,,remember (trans),,"acordarse de, recordar(se) (de)",lembrar,se souvenir
remember2,,remember (trans)@,,,,
think1,TG200,"think (intr, trans)",,pensar,"achar, pensar",penser
think2,,"think (intr, trans)@",,,,
want/like/love1,,want/like/love,,,,
want/like/love2,,want/like/love@,,,,
want1,,want (trans)@,,querer,querer,vouloir
liketrans)1,,like trans)@,,gustar,gostar,aimer
love1,,love (trans)@,,amar,amar,aimer
copulate1,,"copulate, have sex with",,"copular, tener relaciones sexuales, aparear","copular, ter relações sexuais","copuler, faire l' amour, coucher avec qqn"
copulate2,,"copulate, have sex with@",,,,
believe1,,"believe (trans, comp)",,creer,acreditar,croire
believe2,,believe@,,,,
obey1,,obey (trans),,obedecer,obedecer,obéir
obey2,,obey (trans)@,,,,
hear1,TG100,hear (trans),,"escuchar, oír","escutar, ouvir",entendre
hear2,,hear (trans)@,,,,
fight1,TG200,fight (trans),,"luchar, pelear","lutar, brigar",combattre
fight2,,fight (trans)@,,,,
follow1,,follow (trans),,seguir,seguir,suivre
follow2,,follow (trans)@,,,,
respond1,,respond (trans),,responder,responder,répondre
respond2,,respond (trans)@,,,,
sing1,"TG200, CULTURE",sing (intr),,cantar,cantar,chanter
sing2,,sing (intr) @,,,,
askfor1,,ask for (ditr?),,pedir,pedir,demander
askfor2,,ask for (ditr?)@,,,,
ask1,,ask (trans),,preguntar,perguntar,demander
ask2,,ask (trans)@,,,,
call1,,call (trans),"Call to, grab attention (not give name)",llamar a,chamar,appeler
call2,,call (trans)@,,,,
converse1,,converse (trans),,conversar,conversar,"discuter, parler avec quelqu'un"
converse2,,converse (trans)@,,,,
tell1,CULTURE,tell (a story) (trans),,contar (narrar),contar (narrar),raconter
tell2,,tell (a story) (trans)@,,,,
say1,TG100,say (trans),,decir,dizer,dire
say2,,say (trans)@,,,,
speak1,,speak (utter words) (intrans),,hablar,falar,parler
speak2,,speak (utter words) (intrans)@,,,,
emitnoise1,,"emit noise, sound","emit noise, sonar, soar",sonar,soar,"sonner, faire du bruit"
emitnoise2,,"emit noise, sound@",,,,
imitate1,,"imitate, represent, signal","imitate, imitar, imitar","imitar, representar, ser un señal","imitar, representar, sinalizar","imiter, representer, symbolizer"
imitate2,,"imitate, represent, signal@",,,,
dance1,CULTURE,dance (intr),,bailar,dançar,danser
dance2,,dance@,,,,
wakeup1,,wake up (intr),,despertarse,despertar-se,se réveiller
wakeup2,,wake up (intr)@,,,,
sleep1,TG100,sleep (intr),,dormir,dormir,dormir
sleep2,,sleep (intr)@,,,,
laugh1,TG200,laugh (intr),,reir,rir,rire
laugh2,,laugh (intr)@,,,,
smile1,,smile (intr),,sonreír,sorrir,sourire
smile2,,smile@,,,,
cry1,CULTURE,cry (intr),,llorar,chorar,pleurer
cry2,,cry (intr)@,,,,
mourn1,,mourn,,"lamentar, lloriquear, sollozar","prantear, lamentar, chorar","lamenter, faire un deuil, pleurer pour un deuil"
mourn2,,mourn@,,,,
besad1,,be sad (intr),,estar triste,estar triste,être triste
besad2,,be sad@,,,,
bethirsty1,,be thirsty (intr),,tener sed,estar com sede,avoir soif
bethirsty2,,be thirsty (intr)@,,,,
defecate1,,defecate (intr),,defecar,defecar,"déféquer, chier"
defecate2,,defecate (intr)@,,,,
urinate1,,urinate (intr),,orinar,urinar,uriner
urinate2,,urinate (intr)@,,,,
cook1,,"cook (intr, trans)",,cocinar (cocer),cozinhar,"cuisiner, cuire"
cook2,,"cook (intr, trans)@",,,,
eat1,TG100,"eat (intr, trans)",,comer,comer,manger
eat2,,"eat (intr, trans)@",,,,
drink1,TG100,"drink (intr, trans)",,beber,beber,boire
drink2,,"drink (intr, trans)@",,,,
drinkalcohol1,,drink alcohol,any alcoholic drink,tomar/beber alcohol,tomar/beber alcohol,"boire du cachiri, boire de boisson alcoolisée, boire d' alcool"
drinkalcohol2,,drink alcohol@,,,,
roast1,CULTURE,roast (trans),,asar ,assar,"griller, rôtir"
roast2,,roast (trans)@,,,,
roastfariña1,CULTURE,roast fariña (trans),,turrar,torrar,griller
toast1,CULTURE,"toast, brown (trans)@","toast, tostar, (portuguese unclear)",tostar,"fazer torrado?, fazer marrom?",griller
smokefood1,CULTURE,smoke food,"This is only for smoking food. For smoking tobacco and cigarettes, put them in the lax row of tobacco.",ahumar,"defumar, moquear, afumar","fumer, boucaner"
smokefood2,,smoke food@,Here are also the items of the old smoked thing row. ,,,
burn1,,burn,as in burning something and also something is burning.,quemar(se),queimar(-se),brûler
burn2,,burn@,,,,
flame1,,"flame (v.), shine (as in giving off light)","flame, arder, arder; with the fire in subject position, as in giving off light (note: 'flame' and 'give off light' really aren't the same thing -- LDM)",arder,arder,"brûler, éclairer"
flame2,,flame (v.)@,,,,
light1,,light (v.),,encender,acender,allumer
light2,,light (v.)@,,,,
shine1,,shine,as in reflect light,brillar,brilhar,"briller, eclairer"
shine2,,shine@,,,,
illuminate1,,"illuminate, shine light on","illuminate, iluminar~alumbrar, iluminar","iluminar, alumbrar",iluminar,"illuminer, éclairer"
illuminate2,,"illuminate, shine light on@",,,,
fry1,CULTURE,fry (trans),,freír,fritar,frire
boil1,,boil (trans),,hervir ,ferver,bouillir
boil2,,boil (trans)@,,,,
bubble1,,bubble,not foam and froth,"borbotar, borbotear, burbujar","borbotar, borbulhar",bouilloner
bubble2,,bubble@,,,,
swell1,TG200,swell (intr),,hincharse,inchar,"gonfler, enfler"
swell2,,swell (intr)@,,,,
strain1,,strain (trans),,colar (cernir),"coar, peneirar",égoutter
strain2,,strain (trans)@,,,,
mix1,,mix (trans),,"mezclar, batir",misturar,mélanger
mix2,,mix (trans)@,,,,
draw1,"TG200, CULTURE","draw (intr, trans)",,dibujar,desenhar,dessiner
draw2,,draw@,,,,
paint1,"TG200, CULTURE","paint (intr, trans)",,pintar,pintar,peindre
paint2,,"paint (intr, trans)@",,,,
dye1,,dye,,teñir,tingir,"teindre, colorer"
dye2,,dye@,,,,
adorn1,,"adorn, decorate","adorn~decorate, adornar(se)~decorar(se), adornar(-se)~decorar(-se)","adornar, decorar, engalanar","adornar, decorar, enfeitar","décorer, orner"
adorn2,,"adorn, decorate@",,,,
grow1,,"grow (intr, trans)",,crecer,crescer,grandir
grow2,,"grow (intr, trans)@",,,,
heal1,"TG200, CULTURE","heal (intr, trans)",,sanar,sarar,guérir
heal2,,"heal (intr, trans)@",,,,
pass1,,pass (trans),,pasar,passar,passer
pass2,,pass (trans)@,,,,
cross1,,"cross, go across","cross, cruzar~atravesar, cruzar~atravessar","cruzar, atravesar, vadear","cruzar, atravessar, vadear",traverser
cross2,,"cross, go across@",,,,
stab1,,stab (trans)@,,apuñalar,apunhalar,"poignarder, donner un coup de couteau"
pierce1,,pierce (trans),,perforar,furar,"percer, transpercer"
pierce2,,pierce (trans)@,,,,
sew1,"TG200, CULTURE",sew (trans),,coser,costurar,coudre
sew2,,sew (trans)@,,,,
weave1,,weave,,"tejer, trenzar","tecer, trançar",tisser
weave2,,weave@,,,,
play1,TG200,"play (intr, trans)",,jugar,"brincar, jogar (game), folgar",jouer
play2,,"play (intr, trans)@",,,,
spill1,c,"spill, pour",,derramar (verter),derramar (verter),"renverser, se renverser"
spill2,,"spill, pour@",,,,
jump1,,jump (intr),,saltar (brincar),pular,sauter
jump2,,jump (intr)@,,,,
push1,TG200,push (trans),,empujar,empurrar,pousser
push2,,push (trans)@,,,,
rub1,TG200,rub (trans),,sobar,esfregar,frotter
rub2,,rub (trans)@,,,,
scrape1,TG200,"scrape, scratch (trans)","scratch, arañar, arranhar~coçar","raspar, arañar","arranhar, coçar","ɡratter, racler"
scrape2,,"scrape, scratch (trans)@",,,,
grind1,,grind (trans),,moler,"moer, trituar",moudre
grind2,,grind (trans)@,,,,
spin1,CULTURE,spin (thread) (trans),,hilar,fiar,filer
spin2,,spin (thread) (trans)@,,,,
sit1,TG100,sit (intr),,sentarse,sentar-se,s' asseoir
sit2,,sit (intr)@,,,,
stand1,TG100,"stand, stand up (intr)","be.standing; (previous comment, to be ignored for GA coding: Includes both standing (state) and stand up (changing of state))","estar de pie (pararse), levantarse","ficar de pé, estar de pé, levantar-se (Note: in Portuguese ficar means stay and not stand)",être debout
stand2,,"stand, stand up (intr)@",,,,
smell1,TG200,"smell (intr, trans)",,oler ,"farejar, cheirar",sentir
smell2,,"smell (intr, trans)@",,,,
beodorous1,,be odorous (fragrant) (intr),,estar oloroso,estar cheiroso,sentir bon
beodorous2,,be odorous (fragrant) (intr)@,,,,
bestinky1,,be stinky (smell bad) (intr),,apestar (heder),feder,puer
bestinky2,,be stinky (smell bad) (intr)@,,,,
squeeze1,TG200,squeeze (trans),,comprimir (estrujar),"comprimir, espremer",presser
squeeze2,,squeeze (trans)@,,,,
tighten1,,tighten (trans),,apretar (asegurar),apertar,"serrer, resserrer"
tighten2,,tighten (trans)@,,,,
stretch1,,stretch,,"estirar, alargar","espichar, esticar, alongar, distender","s' étirer, tendre, s' étendre, distendre"
stretch2,,stretch@,,,,
paddle2,TG200,paddle (intr),,remar (bogar),remar,pagayer
paddle3,,paddle (intr)@,,,,
goupriver1,,go upriver (intr),,surcar (ir aguas arriba),ir na contracorrente/sembem o rio,"remonter le fleuve, monter la riviere"
goupriver2,,go upriver (intr)@,,,,
godownriver1,,go downriver (intr),,bajar (ir aguas abajo),ir rio abaixo,"aller en aval, descendre le courant"
godownriver2,,go downriver@,,,,
godown1,,go down (intr),,bajar (descender),descer,descendre
godown2,,go down (intr)@,,,,
bepregnant1,,be pregnant (intr),,"estar embarazada, estar preñada",estar grávida,être enceinte
bepregnant2,,be pregnant@,,,,
fallfromaheight1,,fall from a height (intr),"I'm not convinced we can really distinguish the two 'fall' meanings; it seems to me that many things in this row that are most clearly distinct from 'fall over, fall down' are really 'fall off' referring to fruits, leaves, and the like.",caer del alto,cair do alto,tomber de haut
fallfromaheight2,,fall from a height (intr)@,,,,
fallover1,TG200,"fall over, fall down (intr)",see note under fall from a height,caer,cair,tomber
fallover2,,"fall over, fall down (intr)@",,,,
givebirthto1,,give birth to (trans),,dar a luz a (parir),dar á luz a,"donner naissance, accoucher"
givebirthto2,,give birth to (trans)@,,,,
beborn1,,be born (intr),,nacer,nascer,naître
beborn2,,be born (intr)@,,,,
breastfeed1,,breastfeed (trans),,mamar,mamar,allaiter
breastfeed2,,breastfeed (trans)@,,,,
suck1,TG200,suck (trans),,chupar,chupar,sucer
bite1,TG100,bite (trans),,morder,morder,mordre
bite2,,bite (trans)@,,,,
spit1,TG200,spit (intr),,escupir,cuspir,cracher
spit2,,spit@,,,,
blow1,"TG200, CULTURE",blow (trans),,soplar,soprar,souffler
blow2,,blow (trans)@,,,,
wet3,,"wet, dampen (trans)","make.wet~dampen, mojar, molhar",mojar,molhar,mouiller
wet4,,"wet, dampen (trans)@",,,,
dry3,,"dry (intr, trans)",,secar,secar,sécher
dry4,,"dry (intr, trans)@",,,,
await1,,await (trans),,esperar,esperar,attendre
await2,,await (trans)@,,,,
hurt1,,"hurt, wound","injure~wound, herir, ferir; Words that mean feel pain, should be in lax under pain (n)","herir(se), lastimar(se)","ferir(-se), machucar(-se)",blesser
hurt2,,"hurt, wound@",,,,
dock1,,"dock (V trans, intr)",,atracar (a tierra),atracar,mettre a quai
dock2,,"dock (V trans, intr)@",,,,
attach1,,"attach, adhere, stick to","stick to, pegar/aderir, aderir(se)/colar","sujetar(se), pegar(se), adherir(se), arrimar(se)","aderir(-se), colar, grudar","attacher, lier, adhérer, coller"
attach2,,attach@,,,,
join1,,"join, (put together, attach) (trans)","join, unir, juntar","juntar, unir",juntar,"joindre, unir, raccorder, lier, attacher"
join2,,"join, (put together, attach) (trans)@",,,,
tie1,TG200,tie (trans),,"amarrar, atar",amarrar (atar),"nouer, lier, attacher"
tie2,,tie (trans)@,,,,
untie1,,untie (trans),,desatar,"desatar, desamarrar","défaire, dénouer"
untie2,,untie (trans)@,,,,
gather1,,"gather, harvest (trans)","harvest, cosechar, colher",cosechar (recoger),"recolher, juntar","ramasser, cueillir, moissonner"
gather2,,"gather, harvest (trans)@",,,,
finish1,,finish (trans),,"acabar, terminar (completar)",acabar,finir
finish2,,finish (trans)@,,,,
begin1,,"begin (v.) (trans, comp)",,"empezar, comenzar",começar,commencer
begin2,,"begin (v.) (trans, comp)@",,,,
feed1,,"feed, offer food (trans)",feed,alimentar,alimentar,"nourrir, donner à manger"
feed2,,"feed, offer food (trans)@",,,,
weed3,CULTURE,"weed (intr, trans)",,desyerbar,capinar,désherber
weed4,,"weed (intr, trans)@",,,,
rest1,,rest (intr),,descansar,descançar,se reposer
rest2,,rest (intr)@,,,,
carry1,,carry (trans),,"cargar, amarcar (acarrear)",carregar,porter
carry2,,carry (trans)@,,,,
takealong1,,take along (trans),"The opposite of bring, not the grabbing hand motion meaning of take.",llevar,levar,"emporter (objects), emmener (people)"
takealong2,,take along (trans)@,,,,
lift1,,lift (trans),,levantar (alzar),"levantar, erguer","soulever, lever"
lift2,,lift (trans)@,,,,
marry1,CULTURE,marry (trans),,casar,casar,"épouser, se marier"
close1,,close (v.) (trans),,cerrar,fechar,fermer
close2,,close (v.) (trans)@,,,,
open2,,open (trans),,abrir,abrir,ouvrir
open3,,open (trans)@,,,,
peel1,,peel (trans),,pelar,descascar,"peler, éplucher"
peel2,,peel (trans)@,,,,
offend1,,offend (trans),,ofender,ofender,"offenser, injurier"
fill1,,fill (trans),,llenar,encher,remplir
fill2,,fill (trans)@,,,,
shout1,,"shout, yell (intr)",,gritar,gritar,crier
shout2,,"shout, yell (intr)@",,,,
getdressed1,CULTURE,get dressed (intr),,vestirse (ponerse ropa),vestir-se,s' habiller
getdressed2,,get dressed (intr)@,,,,
invite1,,invite (trans),,invitar,convidar,inviter
invite2,,invite (trans)@,,,,
clean3,TG200,clean (v) (trans),,limpiar,limpar,nettoyer
clean4,,clean (v) (trans)@,,,,
wash1,TG200,wash (trans),,lavar,lavar,laver
wash2,,wash (trans)@,,,,
bathe1,,bathe (intr),,bañarse,banhar-se,"se baigner, se laver"
bathe2,,bathe (intr)@,,,,
touch1,,touch (trans),,tocar,"tocar, apalpar",toucher
touch2,,touch (trans)@,,,,
embrace1,,"embrace, hug (trans)",,abrazar,abraçar,étreindre
embrace2,,"embrace, hug (trans)@",,,,
wrap1,,wrap (trans),,envolver,"embrulhar, envolver",envelopper
wrap2,,wrap (trans)@,,,,
cover1,,cover (trans),,cubrir (tapar),"cobrir, tapar","couvrir, recouvrir"
cover2,,cover (trans)@,,,,
work3,,work (intr),,trabajar,trabalhar,travailler
work4,,work (intr)@,,,,
do1,,do (trans),,hacer,fazer,faire
do2,,do (trans)@,,,,
teach1,,teach,,enseñar,ensinar,
