ID,Language_ID,Phonemic,Phonetic,Orthographic,Variants,Form_Comment,Source,Procedural_Comment,Procedural_Comment_Concept,Concept_ID
paraguayan_guarani1_rub1_3,paraguayan_guarani1,,,<(a)mohu'ũ>,,,paraguayan_guarani1{1},Keep: <(ai)pichy>,,rub1
paraguayan_guarani1_rub1_4,paraguayan_guarani1,,,<kyty>,,"(frotar, fregar, ludir, restregar)",paraguayan_guarani1{3},Keep: <(ai)pichy>,,rub1
kaiwa1_rub1_1,kaiwa1,No value,No value,No value,,No value,kaiwa1No value,,,rub1
mbya_guarani1_rub1_1,mbya_guarani1,,,<-pixy>,,(esfregar (parte do corpo)),mbya_guarani1{1},Keep: <-pixy>,,rub1
mbya_guarani1_rub1_2,mbya_guarani1,,,<-pokyty>,,(esfregar enre as mãos),mbya_guarani1{1},Keep: <-pixy>,,rub1
chiripa1_rub1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,rub1
xeta1_rub1_1,xeta1,No value,No value,No value,,No value,xeta1No value,,,rub1
tapiete1_rub1_1,tapiete1,,[mbɨwóβa],<mbɨsowa>,,"(to fondle, sobar; sobalo)",tapiete1{1},,,rub1
eastern_bolivian_guarani1_rub1_1,eastern_bolivian_guarani1,/kɨtɨ/,,,,"(rub, wipe)",eastern_bolivian_guarani1{1},,,rub1
guarayu1_rub1_1,guarayu1,,,<quìtì>,,(reiben),guarayu1{2},,,rub1
siriono1_rub1_1,siriono1,,,<nyɨɨshɨ>,,,siriono1{1},,,rub1
yuqui1_rub1_1,yuqui1,,,<equiti>,,(rub),yuqui1{2},keep equiti,,rub1
yuqui1_rub1_2,yuqui1,,,<eyichi>,,"(rub, stroke)",yuqui1{2},keep equiti,,rub1
yuqui1_rub1_3,yuqui1,,,<eyusi>,,(Rub it! Rub it off! Wipe it! (as nose)),yuqui1{2},keep equiti,,rub1
jora1_rub1_1,jora1,No value,No value,No value,,No value,jora1No value,,,rub1
warazu1_rub1_1,warazu1,,,<-kiti-kíti>,,(to rub),warazu1{9},,,rub1
omagua1_rub1_1,omagua1,/sumaka/,,,,(tr.),omagua1{1},,,rub1
cocama_cocamilla1_rub1_1,cocama_cocamilla1,,,<tʃimiɾika>,,"(amasar, sobar)",cocama_cocamilla1{1},,,rub1
cocama_cocamilla1_rub1_2,cocama_cocamilla1,,,<iɾika>,,,cocama_cocamilla1{4},,,rub1
tupinamba1_rub1_1,tupinamba1,,,<quytyca>,,,tupinamba1{1},Keep: <quytyca>,,rub1
tupinamba1_rub1_2,tupinamba1,,,<pixyba>,,,tupinamba1{1},Keep: <quytyca>,,rub1
tapirape1_rub1_1,tapirape1,,,<kytyk>,,,tapirape1{2},,,rub1
tocantins_asurini1_rub1_1,tocantins_asurini1,,,<kytýk>,,"(Ia)(esfregar, escovar, moer, ralar)",tocantins_asurini1{3},,,rub1
parakana1_rub1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,rub1
canoeiro1_rub1_1,canoeiro1,,,<kɨtɨk>,,,canoeiro1{1},,,rub1
tembe1_rub1_1,tembe1,,,<kĭtĭk>,,"(esfregar, ralar, limar, passar de raspão, tocar às raias)",tembe1{1:1: 104},,,rub1
guajajara1_rub1_1,guajajara1,,,<upihiw>,,"(alisar com a mão, esfregar)",guajajara1{1},,,rub1
turiwara1_rub1_1,turiwara1,No value,No value,No value,,No value,turiwara1No value,,,rub1
anambe1_rub1_1,anambe1,,,<kyty>,,(râper),anambe1{1},,,rub1
arawete1_rub1_1,arawete1,No value,No value,No value,,No value,arawete1No value,,,rub1
xingu_asurini1_rub1_1,xingu_asurini1,No value,No value,No value,,No value,xingu_asurini1No value,,,rub1
